plant number	Quad	row 	column	genotype	elevation (m)	Dist	 photosynthesis	 stomatal conductance	Ci	transpiration	Ci/Ca	VpdL	WUE
G1181	1	F	5	GV185	3411	3991.37	2.220075043	0.033899156	323.9004252	1.121831374	0.852746873	1.032041824	1.978973931
G1182	1	F	6	GV086	2880	11302.21	2.698068853	0.029815228	314.457753	1.341609892	0.831654561	1.1599575	2.011068097
G1183	1	F	7	GV066	2929	8347.33	1.668251161	0.020682702	291.2593763	0.664983389	0.76751365	1.328815802	2.508711028
G1184	1	F	8	GV095	2966	10707.18	2.992312986	0.028055087	310.5228272	1.509739781	0.820911824	1.249312612	1.982005789
G1186	2	A	2	GV188	3126	5999.44	1.413981972	0.011887115	234.8316358	0.271413843	1.114061255	21.39654303	5.209689952
G1187	2	A	3	GV068	2910	10601.83	1.179338672	0.024033847	303.9613446	0.476320414	1.158739309	21.65304048	2.475935605
G1188	2	A	4	GV086	2880	11302.21	2.139723805	0.017811622	277.6052108	0.725970299	1.314564145	22.85097313	2.947398546
G1189	2	A	5	GV185	3411	3991.37	2.676607797	0.018390555	279.1444382	1.014477155	1.420467979	23.55228901	2.63841111
G1190	2	A	6	GV086	2880	11302.21	1.679030231	0.028535905	311.4586282	0.876160751	1.269086642	22.75252642	1.916349515
G1191	2	A	7	GV105	2929	9490.17	0.994809631	0.047797523	336.3748118	0.784282975	1.139863872	21.42967911	1.268432011
G1192	2	A	8	GV202	3368	8392.43	4.282108813	0.016655048	274.0148899	1.239751662	1.197125292	21.6311057	3.454005302
G1193	2	B	1	GV197	3682	9932.09	2.595778396	0.016102588	270.4290175	0.736974441	1.217646811	21.65395573	3.522209525
G1194	2	B	2	GV194	3108	6572.34	4.883392404	0.015476194	261.4050806	1.540969979	1.404121554	23.05455104	3.169037989
G1195	2	B	3	GV089	2869	11743.26	2.904792114	0.013046402	246.7175754	0.743456623	1.35085622	22.54575793	3.907144043
G1196	2	B	4	GV050	2934	8548.21	2.105768668	0.030493204	315.8444126	1.108048701	1.199329924	21.83222198	1.900429707
G1197	2	B	5	GV089	2869	11743.26	2.346738241	0.017022297	274.5606147	0.716438941	1.240850146	21.85909319	3.275559306
G1198	2	B	6	GV096	2994	10817.23	3.426663958	0.014417458	256.6033949	1.011612888	1.411729415	23.11011369	3.387327307
G1200	2	B	8	GV072	2933	9777.11	2.31666008	0.019041396	281.7018592	0.923924199	1.448566538	23.65823364	2.507413576
G1201	2	C	1	GV096	2994	10817.23	3.927787475	0.010727562	217.6623325	0.911557523	1.483707966	23.89057859	4.308875057
G1204	2	C	4	GV185	3411	3991.37	4.378417509	0.015572815	264.8780079	1.369995725	1.382144968	23.56575902	3.195935162
G1205	2	C	5	GV200	3448	8401.80	2.727644235	0.018868587	281.8220286	1.002559175	1.34642266	23.62581199	2.720681535
G1206	2	C	6	GV175	3251	3226.81	3.268475631	0.029981225	312.4717372	1.922956471	1.365435201	24.14867537	1.69971379
G1208	2	C	8	GV187	3067	5996.51	3.67529401	0.012538497	240.1670944	0.895124864	1.336140059	23.83363424	4.105900929
G1209	2	D	1	GV105	2929	9490.17	2.223546103	0.009997653	209.3812366	0.457578074	1.409646383	24.30434736	4.859380796
G1211	2	D	3	GV048	2949	8277.90	2.010709846	0.007705255	161.8412642	0.291737325	1.290386446	23.6599946	6.892192656
G1212	2	D	4	GV066	2929	8347.33	1.813880676	0.023776494	302.4720784	0.703147071	1.123913802	22.61627178	2.579660429
G1213	2	D	5	GV101	3050	9460.26	1.770598457	0.014514621	260.5629654	0.416055318	1.112937652	22.15614891	4.255680388
G1214	2	D	6	GV187	3067	5996.51	2.001059508	0.025548627	306.8727618	0.82692897	1.120574063	22.1626544	2.419868672
G1215	2	D	7	GV188	3126	5999.44	1.973467622	0.02557949	305.9400156	0.88222983	1.210738865	22.66827287	2.236908744
G1216	2	D	8	GV095	2966	10707.18	2.361167579	0.033036122	320.7458209	1.3326668	1.187310164	22.47349358	1.771761388
G1217	2	E	1	GV048	2949	8277.90	2.776552218	0.018656639	282.6745094	0.911863498	1.219161703	22.59969735	3.044920895
G1218	2	E	2	GV161	3055	5731.51	2.218251755	0.016842186	274.2040008	0.707185631	1.304501935	23.02269387	3.136731938
G1219	2	E	3	GV205	3463	7605.80	2.866185074	0.020624171	290.0607325	1.189555974	1.384325766	23.58355658	2.409457929
G1220	2	E	4	GV161	3055	5731.51	2.104531481	0.024667913	302.4082866	1.025768157	1.364291594	23.6343317	2.051663883
G1221	2	E	5	GV200	3448	8401.80	2.525580689	0.015099721	261.2961439	0.777346277	1.40023834	23.81022008	3.248977661
G1222	2	E	6	GV205	3463	7605.80	2.24813901	0.018419314	281.4288626	0.807409161	1.339797822	23.5094193	2.784386305
G1223	2	E	7	GV175	3251	3226.81	3.080908064	0.029220572	312.5313833	1.660745089	1.275408121	23.28328857	1.855136038
G1224	2	E	8	GV198	3623	10460.53	3.008682823	0.009756452	205.6123815	0.572604628	1.336948175	23.42366573	5.254380906
