X,Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Transplant_Date,OD_transplant,Date_first_death_observed,Status,Lifetime_Flowered,Lifetime_Fruited,Overwinter_survival,Season_survival,Pre_Vern_Flowered,Post_Vern_Flowered,Date_PreVern_Flowering,Date_PostVern_Flowering,Stem_number_flowering_pre,Height1_flowering_pre,Stem_number_flowering,Height1_flowering,Height2_flowering,Height3_flowering,Height4_flowering,Height5_flowering,Height6_flowering,Height7_flowering,Height8_flowering,Date_silique_pre,Date_silique,Pre_Vern_Fruited,Post_Vern_Fruited,Stem_number_silique_pre,Height1_silique_pre,Height2_silique_pre,Height3_silique_pre,Height4_silique_pre,Height5_silique_pre,Stem_number_silique,Height1_silique,Height2_silique,Height3_silique,Height4_silique,Height5_silique,Height6_silique,Height7_silique,Height8_silique,Height9_silique,Failed_silique_number,Mature_silique_number,Mature_length_siliques,Post_reproductive,Date_post_reproductive,Stem_number_PR,Height1_PR,Height2_PR,Height3_PR,Height4_PR,Height5_PR,Height6_PR,Height7_PR,Height8_PR,Stem_number_Harvest,Height1_Harvest,Height2_Harvest,Height3_Harvest,Height4_Harvest,Height5_Harvest,Width_Census1,Width_Census2,Width_Census3,Width_Census4,Width_Census5,Width_Census6,Width_Census7,Width_Census8,Width_Census9,Width_Census10,Rosette_FW,Rosette_DW,Stem_FW,Stem_DW,Bolt_Leaves_FW,Bolt_Leaves_DW,Flower_FW,Flower_DW,Root_DW,Root_Shoot,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass,Licor_SLA,Q.anthocyanin,SLA_rosette_June22,Check,Resolution,Next steps
11,T1,High,High,1,11,T1_1_11,46_3A,46,3009,8/17/2021,229,22,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
12,T1,High,High,1,12,T1_1_12,102_5,102,3072,8/11/2021,223,97,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
13,T1,High,High,1,13,T1_1_13,194_2,194,3108,8/11/2021,223,376,0,1,1,1,1,0,1,NA,284,NA,NA,1,77,NA,NA,NA,NA,NA,NA,NA,NA,321,0,1,NA,NA,NA,NA,NA,NA,1,440,NA,NA,NA,NA,NA,NA,NA,NA,6,10,333.9,1,341,1,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.01,45.82,57.76,16.41,46,46.36,43.11,35.76,39.22,NA,0.1515,0.0487,0.1976,0.0857,0,0,0,0,0.3283,2.442708333,0.001380895,2.92750576,649.3022581,538.7563143,0.05453807,0.705091016,0.0057,123.7001782,10.717,119.0167255,,,
14,T1,High,High,1,14,T1_1_14,98_7,98,3011,8/18/2021,230,7,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
15,T1,High,High,1,15,T1_1_15,273_18C,273,2710,9/14/2021,257,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
16,T1,High,High,1,16,T1_1_16,304_19A,304,3673,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
17,T1,High,High,1,17,T1_1_17,252_4,252,3444,8/27/2021,239,305,1,1,1,1,0,0,1,NA,246,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,255,0,1,NA,NA,NA,NA,NA,NA,1,56,NA,NA,NA,NA,NA,NA,NA,NA,0,5,151.4,1,292,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.96,41.88,76.87,59.18,53.69,50.86,31.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.345,NA,,,
18,T1,High,High,1,18,T1_1_18,86_2,86,2880,8/11/2021,223,14,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
19,T1,High,High,1,19,T1_1_19,270_26,270,2553,8/17/2021,229,8,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
20,T1,High,High,1,20,T1_1_20,283_22,283,2890,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
21,T1,High,High,1,21,T1_1_21,253_9,253,3460,8/18/2021,230,7,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
22,T1,High,High,1,22,T1_1_22,250_28,250,3133,8/17/2021,229,370,0,1,1,1,1,0,1,NA,254,NA,NA,1,72.5,NA,NA,NA,NA,NA,NA,NA,NA,281,0,1,NA,NA,NA,NA,NA,NA,1,185,NA,NA,NA,NA,NA,NA,NA,NA,1,10,346.6,1,302,1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.93,41.5,49.58,38.03,38.08,40.86,45.75,42.86,40.67,NA,0.5325,0.2083,0,0,0,0,0,0,0.5934,2.848775804,0.001223402,8.23490535,648.1639667,444.1014131,0.070293874,0.814410231,0.0076,107.1592409,31.287,99.82779367,Is Height1_flowering correct? There are only 17 non-integer values. The other heights are integers,"Yes, this is correct",Can round
23,T1,High,High,1,23,T1_1_23,304_19A,304,3673,9/5/2021,248,351,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.78,73.89,80.28,62.42,23.99,42.36,41.3,26.84,0,NA,0,0,0,0,0,0,0,0,0.0821,NA,NA,NA,NA,NA,NA,0.789463945,0.0065,121.4559915,10.834,232.4153394,Ci is negative + Aboveground biomass = 0. Is that true?,Aboveground is 0,
24,T1,High,High,1,24,T1_1_24,56_3,56,3132,8/13/2021,225,374,0,1,1,1,1,0,1,NA,261,NA,NA,1,120,NA,NA,NA,NA,NA,NA,NA,NA,278,0,1,NA,NA,NA,NA,NA,NA,1,246,NA,NA,NA,NA,NA,NA,NA,NA,0,8,440.2,1,306,1,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.52,58.2,53.02,43.33,30.93,37.16,36.22,27.14,39.67,NA,0.4596,0.1786,0.1661,0.0695,0,0,0,0,0.5939,2.393792825,NA,NA,NA,NA,NA,NA,NA,NA,36.669,148.9081223,,,
25,T1,High,High,1,25,T1_1_25,194_2,194,3108,8/11/2021,223,376,0,1,1,1,1,0,1,NA,267,NA,NA,1,131,NA,NA,NA,NA,NA,NA,NA,NA,345,0,1,NA,NA,NA,NA,NA,NA,2,177,211,NA,NA,NA,NA,NA,NA,NA,9,14,365.6,1,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.92,58.16,63.86,50.07,43.61,44.97,43.76,32.91,34.75,NA,0.0962,0.0349,0.5469,0.2652,0,0,0,0,0.6203,2.066977674,NA,NA,NA,NA,NA,NA,NA,NA,14.049,106.4109927,,,
26,T1,High,High,1,26,T1_1_26,273_37,273,2710,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
27,T1,High,High,1,27,T1_1_27,86_2,86,2880,8/11/2021,223,14,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
28,T1,High,High,1,28,T1_1_28,67_4,67,2903,8/11/2021,223,376,0,1,1,1,1,0,1,NA,284,NA,NA,1,95,NA,NA,NA,NA,NA,NA,NA,NA,308,0,1,NA,NA,NA,NA,NA,NA,1,190,NA,NA,NA,NA,NA,NA,NA,NA,0,12,150.35,1,335,1,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.52,57.45,47.59,71.44,18.2,31.03,35.84,35.4,37.04,NA,0.2633,0.0989,0.0962,0.0417,0,0,0,0,0.0913,0.649359886,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.1318258,,,
29,T1,High,High,1,29,T1_1_29,151_3,151,2975,8/11/2021,223,376,0,1,1,1,1,0,1,NA,273,NA,NA,1,184,NA,NA,NA,NA,NA,NA,NA,NA,351,0,1,NA,NA,NA,NA,NA,NA,2,415,320,NA,NA,NA,NA,NA,NA,NA,16,12,370.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,335,445,NA,NA,NA,72.38,25.32,39.52,40.04,31.35,49.32,43.14,36.35,38.82,NA,0.5601,0.2004,0.7366,0.3314,0,0,0.0119,0.0051,0.3013,0.561184578,0.002347388,8.555436753,648.8685,515.0787781,0.120068359,0.447671146,0.0047,95.24918,36.608,121.806116,,,
30,T1,High,High,1,30,T1_1_30,51_1,51,2929,9/24/2021,267,5,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
31,T1,High,High,1,31,T1_1_31,156_5,156,2996,8/17/2021,229,8,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
32,T1,High,High,1,32,T1_1_32,214_7,214,2693.59,8/17/2021,229,8,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
33,T1,High,High,1,33,T1_1_33,262_3,262,2717.292,9/22/2021,265,7,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
34,T1,High,High,1,34,T1_1_34,102_5,102,3072,8/11/2021,223,14,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
35,T1,High,High,1,35,T1_1_35,211_13A,211,3121.58,8/11/2021,223,376,0,1,1,1,1,0,1,NA,262,NA,NA,1,74,NA,NA,NA,NA,NA,NA,NA,NA,280,0,1,NA,NA,NA,NA,NA,NA,1,200,NA,NA,NA,NA,NA,NA,NA,NA,3,9,347.5,1,316,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.76,72.94,96.42,76.91,20.75,49.24,60.09,57.46,38.37,NA,0.4223,0.1502,0.3529,0.1566,0,0,0,0,0.728,2.372881356,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.5368858,,,
36,T1,High,High,1,36,T1_1_36,213_1,213,2789.81,8/11/2021,223,376,0,1,1,1,1,0,1,NA,263,NA,NA,1,154,NA,NA,NA,NA,NA,NA,NA,NA,357,0,1,NA,NA,NA,NA,NA,NA,1,45,NA,NA,NA,NA,NA,NA,NA,NA,0,18,510.1,1,369,1,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.72,34.54,39.56,30.23,32.52,33.43,34.4,29.61,25.21,NA,0.1558,0.626,0.1219,0.0551,0,0,0.0079,0.0017,0.4028,0.589923843,0.000504514,3.584170682,649.5305,432.6236238,0.028532562,0.487527857,0.0034,143.3905462,7.111,122.6300857,,,
37,T1,High,High,1,37,T1_1_37,283_11,283,2890,9/14/2021,257,15,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
38,T1,High,High,1,38,T1_1_38,267_12,267,2498.61,8/13/2021,225,12,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
39,T1,High,High,1,39,T1_1_39,283_22,283,2890,8/13/2021,225,374,0,1,1,1,1,0,1,NA,262,NA,NA,1,117,NA,NA,NA,NA,NA,NA,NA,NA,273,0,1,NA,NA,NA,NA,NA,NA,1,276,NA,NA,NA,NA,NA,NA,NA,NA,0,9,204.8,1,313,1,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.13,50.57,59.67,52.39,60.43,65.54,73.66,66.09,31.73,NA,0.4112,0.1338,0.1504,0.0621,0,0,0,0,0.6083,3.105155692,0.00317611,8.617634589,647.2658,487.8279964,0.105665763,1.012618513,0.0082,123.4900626,10.503,181.583619,,,
