Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Transplant_Date,OD_transplant,Date_first_death_observed,Status,Lifetime_Flowered,Lifetime_Fruited,Overwinter_survival,Season_survival,Pre_Vern_Flowered,Post_Vern_Flowered,Failed_silique_number,Mature_silique_number,Mature_length_siliques,total_silique_number,total_length_siliques
T1,High,High,1,39,T1_1_39,283_22,283,2890,8/13/21,225,374,0,1,1,1,1,0,1,0,9,204.8,9,204.8
T1,High,High,1,40,T1_1_40,151_3,151,2975,8/11/21,223,376,0,1,1,1,1,0,1,27,15,361.2,15,361.2
T1,High,High,1,41,T1_1_41,210_3,210,3161.3,8/27/21,239,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,42,T1_1_42,250_28,250,3133,8/17/21,229,370,0,1,1,1,1,0,1,9,8,178.2,8,178.2
T1,High,High,1,43,T1_1_43,107_4,107,3091,8/20/21,232,367,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,1,44,T1_1_44,270_10,270,2553,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,45,T1_1_45,270_26,270,2553,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,46,T1_1_46,253_9,253,3460,8/27/21,239,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,47,T1_1_47,157_3,157,3004,9/14/21,257,1,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,48,T1_1_48,210_3,210,3161.3,9/5/21,248,351,0,1,1,1,1,0,1,4,1,6.4,1,6.4
T1,High,High,1,49,T1_1_49,200_1,200,3447,8/11/21,223,321,1,1,0,1,0,0,1,8,NA,NA,0,0
T1,High,High,1,50,T1_1_50,151_3,151,2975,8/13/21,225,319,1,0,0,1,0,0,0,NA,NA,NA,0,0
T1,High,High,1,51,T1_1_51,328_2,328,3660,8/13/21,225,374,0,1,1,1,1,0,1,0,10,353.1,10,353.1
T1,High,High,1,52,T1_1_52,154_5,154,2992,9/22/21,265,7,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,53,T1_1_53,49_2,49,2935,8/11/21,223,35,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,54,T1_1_54,210_3,210,3161.3,9/5/21,248,351,0,1,1,1,1,0,1,10,4,112.4,4,112.4
T1,High,High,1,55,T1_1_55,68_1,68,2904,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,56,T1_1_56,262_3,262,2717.292,8/17/21,229,43,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,57,T1_1_57,1_3,1,2989,8/27/21,239,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,58,T1_1_58,91_2,91,2910,8/20/21,232,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,59,T1_1_59,50_1,50,2934,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,60,T1_1_60,83_1,83,2994,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,61,T1_1_61,86_2,86,2880,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,62,T1_1_62,269_15,269,2800,8/13/21,225,374,0,1,1,1,1,0,1,5,10,199.6,10,199.6
T1,High,High,1,63,T1_1_63,201_2,201,3352,8/11/21,223,376,0,1,1,1,1,0,1,2,6,235.4,6,235.4
T1,High,High,1,64,T1_1_64,259_19C,259,2759.964,8/20/21,232,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,65,T1_1_65,250_16,250,3133,9/14/21,257,342,0,1,1,1,1,0,1,9,23,580.6,23,580.6
T1,High,High,1,66,T1_1_66,86_2,86,2880,8/11/21,223,376,0,1,1,1,1,0,1,9,12,356.9,12,356.9
T1,High,High,1,67,T1_1_67,303_8,303,3570,8/11/21,223,280,1,0,0,1,0,0,0,NA,NA,NA,0,0
T1,High,High,1,68,T1_1_68,303_8,303,3570,8/13/21,225,374,0,1,1,1,1,0,1,9,4,125.1,4,125.1
T1,High,High,1,69,T1_1_69,250_28,250,3133,8/17/21,229,370,0,1,1,1,1,0,1,0,6,215.8,6,215.8
T1,High,High,1,70,T1_1_70,212_7,212,3131,8/11/21,223,376,0,1,1,1,1,0,1,0,20,343.2,20,343.2
T1,High,High,1,71,T1_1_71,107_4,107,3091,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,72,T1_1_72,200_1,200,3447,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,73,T1_1_73,81_1,81,3095,8/29/21,241,3,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,74,T1_1_74,67_4,67,2903,8/11/21,223,376,0,1,1,1,1,0,1,2,19,671.2,19,671.2
T1,High,High,1,75,T1_1_75,209_5,209,2721.21,8/27/21,239,33,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,76,T1_1_76,269_15,269,2800,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,77,T1_1_77,199_1,199,3502,8/27/21,239,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,78,T1_1_78,269_15,269,2800,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,79,T1_1_79,151_3,151,2975,8/13/21,225,26,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,80,T1_1_80,304_19A,304,3673,8/13/21,225,278,1,0,0,1,0,0,0,NA,NA,NA,0,0
T1,High,High,1,81,T1_1_81,209_5,209,2721.21,8/27/21,239,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,82,T1_1_82,50_1,50,2934,9/14/21,257,1,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,83,T1_1_83,201_2,201,3352,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,84,T1_1_84,158_2,158,3004,8/27/21,239,360,0,1,1,1,1,0,1,0,20,444,20,444
T1,High,High,1,85,T1_1_85,107_4,107,3091,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,86,T1_1_86,328_2,328,3660,8/13/21,225,374,0,1,1,1,1,0,1,0,5,147,5,147
T1,High,High,1,87,T1_1_87,257_2,257,2754.1728,8/11/21,223,14,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,88,T1_1_88,1_3,1,2989,9/5/21,248,115,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,89,T1_1_89,303_8,303,3570,8/13/21,225,319,1,1,1,1,0,0,1,4,5,99.4,5,99.4
T1,High,High,1,90,T1_1_90,250_16,250,3133,9/14/21,257,342,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,1,91,T1_1_91,51_1,51,2929,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,92,T1_1_92,107_4,107,3091,8/11/21,223,140,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,93,T1_1_93,257_2,257,2754.1728,8/18/21,230,7,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,94,T1_1_94,210_3,210,3161.3,9/5/21,248,351,0,1,1,1,1,0,1,0,5,85.2,5,85.2
T1,High,High,1,95,T1_1_95,81_1,81,3095,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,96,T1_1_96,86_2,86,2880,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,97,T1_1_97,185_2,185,3411,9/14/21,257,22,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,1,98,T1_1_98,304_19A,304,3673,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,99,T1_2_99,200_1,200,3447,8/20/21,232,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,100,T1_2_100,250_16,250,3133,9/14/21,257,1,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,101,T1_2_101,154_5,154,2992,9/28/21,271,328,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,102,T1_2_102,91_2,91,2910,9/14/21,257,342,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,103,T1_2_103,83_1,83,2994,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,104,T1_2_104,158_2,158,3004,10/13/21,286,313,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,105,T1_2_105,199_1,199,3502,8/17/21,229,370,0,1,1,1,1,0,1,0,14,226.9,14,226.9
T1,High,High,2,106,T1_2_106,207_14B,207,3218.6,8/11/21,223,28,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,107,T1_2_107,107_4,107,3091,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,108,T1_2_108,102_5,102,3072,8/11/21,223,376,0,1,1,1,1,0,1,0,6,91.3,6,91.3
T1,High,High,2,109,T1_2_109,98_7,98,3011,9/11/21,254,304,1,0,0,1,0,0,0,NA,NA,NA,0,0
T1,High,High,2,110,T1_2_110,86_2,86,2880,9/24/21,267,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,111,T1_2_111,283_11,283,2890,9/24/21,267,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,112,T1_2_112,154_5,154,2992,9/28/21,271,328,0,1,1,1,1,0,1,12,16,253.8,16,253.8
T1,High,High,2,113,T1_2_113,270_10,270,2553,8/20/21,232,54,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,114,T1_2_114,273_18C,273,2710,9/14/21,257,342,0,1,1,1,1,0,1,1,20,439.3,20,439.3
T1,High,High,2,115,T1_2_115,255_28,255,3341.67,9/22/21,265,10,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,116,T1_2_116,48_2,48,2951,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,117,T1_2_117,211_13A,211,3121.58,8/11/21,223,376,0,1,1,1,1,0,1,0,15,789.7,15,789.7
T1,High,High,2,118,T1_2_118,56_3,56,3132,8/18/21,230,7,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,119,T1_2_119,270_26,270,2553,8/20/21,232,367,0,1,1,1,1,0,1,1,28,804.8,28,804.8
T1,High,High,2,120,T1_2_120,107_4,107,3091,8/11/21,223,376,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,121,T1_2_121,283_22,283,2890,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,122,T1_2_122,267_12,267,2498.61,8/13/21,225,374,0,1,1,1,1,0,1,11,26,633.7,26,633.7
T1,High,High,2,123,T1_2_123,185_2,185,3411,9/14/21,257,342,0,1,1,1,1,0,1,3,14,355.2,14,355.2
T1,High,High,2,124,T1_2_124,189_1,189,3273,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,125,T1_2_125,194_2,194,3108,8/11/21,223,376,0,1,1,1,1,0,1,0,15,317,15,317
T1,High,High,2,126,T1_2_126,213_1,213,2789.81,8/11/21,223,376,0,1,1,1,1,0,1,0,11,234.6,11,234.6
T1,High,High,2,127,T1_2_127,107_4,107,3091,8/17/21,229,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,128,T1_2_128,188_2,188,3126,8/11/21,223,376,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,129,T1_2_129,102_5,102,3072,8/11/21,223,376,0,1,1,1,1,0,1,0,27,825,27,825
T1,High,High,2,130,T1_2_130,328_2,328,3660,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,131,T1_2_131,106_6,106,2925,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,132,T1_2_132,207_14B,207,3218.6,9/14/21,257,63,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,133,T1_2_133,86_2,86,2880,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,134,T1_2_134,102_5,102,3072,8/11/21,223,14,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,135,T1_2_135,156_5,156,2996,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,136,T1_2_136,262_3,262,2717.292,9/22/21,265,70,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,137,T1_2_137,328_2,328,3660,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,138,T1_2_138,304_19A,304,3673,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,139,T1_2_139,83_1,83,2994,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,140,T1_2_140,273_18C,273,2710,9/14/21,257,63,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,141,T1_2_141,270_10,270,2553,8/13/21,225,68,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,143,T1_2_143,50_1,50,2934,9/22/21,265,334,0,1,1,1,1,0,1,0,7,312.8,7,312.8
T1,High,High,2,144,T1_2_144,304_19A,304,3673,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,145,T1_2_145,48_2,48,2951,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,146,T1_2_146,86_2,86,2880,8/11/21,223,376,0,1,0,1,1,0,1,0,NA,NA,0,0
T1,High,High,2,147,T1_2_147,210_3,210,3161.3,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,149,T1_2_149,199_1,199,3502,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,151,T1_2_151,273_37,273,2710,8/27/21,239,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,152,T1_2_152,212_7,212,3131,8/11/21,223,376,0,1,1,1,1,1,1,43,1,28.6,1,28.6
T1,High,High,2,153,T1_2_153,270_10,270,2553,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,154,T1_2_154,257_2,257,2754.1728,8/11/21,223,376,0,1,1,1,1,0,1,1,9,216.5,9,216.5
T1,High,High,2,155,T1_2_155,211_13A,211,3121.58,8/11/21,223,376,0,1,1,1,1,0,1,0,8,385.2,8,385.2
T1,High,High,2,156,T1_2_156,86_2,86,2880,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,158,T1_2_158,67_4,67,2903,8/11/21,223,280,1,0,0,1,0,0,0,NA,NA,NA,0,0
T1,High,High,2,160,T1_2_160,267_12,267,2498.61,8/20/21,232,367,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,161,T1_2_161,257_2,257,2754.1728,8/11/21,223,376,0,1,1,1,1,0,1,3,9,238.3,9,238.3
T1,High,High,2,164,T1_2_164,270_26,270,2553,8/20/21,232,367,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,165,T1_2_165,199_1,199,3502,9/24/21,267,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,166,T1_2_166,189_1,189,3273,8/27/21,239,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,167,T1_2_167,207_14B,207,3218.6,9/14/21,257,22,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,168,T1_2_168,262_3,262,2717.292,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,169,T1_2_169,209_5,209,2721.21,8/27/21,239,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,170,T1_2_170,214_7,214,2693.59,8/27/21,239,360,0,1,1,1,1,0,1,0,3,93.6,3,93.6
T1,High,High,2,171,T1_2_171,56_3,56,3132,9/14/21,257,22,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,172,T1_2_172,214_7,214,2693.59,9/14/21,257,22,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,175,T1_2_175,49_2,49,2935,8/11/21,223,376,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,176,T1_2_176,212_7,212,3131,8/13/21,225,374,0,1,1,1,1,0,1,16,11,279.5,11,279.5
T1,High,High,2,177,T1_2_177,253_9,253,3460,8/13/21,225,61,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,179,T1_2_179,257_2,257,2754.1728,8/11/21,223,14,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,180,T1_2_180,262_3,262,2717.292,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,181,T1_2_181,210_3,210,3161.3,9/14/21,257,342,0,1,1,1,1,0,1,3,10,406.1,10,406.1
T1,High,High,2,182,T1_2_182,46_3A,46,3009,9/14/21,257,1,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,183,T1_2_183,51_1,51,2929,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,184,T1_2_184,328_2,328,3660,8/13/21,225,374,0,1,1,1,1,1,1,0,17,445.4,17,445.4
T1,High,High,2,185,T1_2_185,210_3,210,3161.3,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,186,T1_2_186,270_26,270,2553,8/29/21,241,17,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,187,T1_2_187,267_12,267,2498.61,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,188,T1_2_188,107_4,107,3091,8/11/21,223,97,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,189,T1_2_189,56_3,56,3132,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,190,T1_2_190,273_37,273,2710,8/27/21,239,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,191,T1_2_191,51_1,51,2929,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,193,T1_2_193,214_7,214,2693.59,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,2,195,T1_2_195,66_4,66,2940,8/11/21,223,376,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,2,196,T1_2_196,189_1,189,3273,9/28/21,271,328,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,3,199,T1_3_199,86_2,86,2880,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,200,T1_3_200,1_3,1,2989,9/5/21,248,3,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,203,T1_3_203,200_1,200,3447,8/20/21,232,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,204,T1_3_204,283_22,283,2890,8/13/21,225,152,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,205,T1_3_205,157_3,157,3004,8/13/21,225,374,0,1,1,1,1,0,1,15,17,349.8,17,349.8
T1,High,High,3,207,T1_3_207,51_1,51,2929,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,208,T1_3_208,253_9,253,3460,9/14/21,257,342,0,1,1,1,1,0,1,1,17,210.4,17,210.4
T1,High,High,3,209,T1_3_209,270_26,270,2553,8/29/21,241,3,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,211,T1_3_211,91_2,91,2910,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,212,T1_3_212,154_5,154,2992,9/28/21,271,328,0,1,1,1,1,0,1,11,16,343.4,16,343.4
T1,High,High,3,214,T1_3_214,194_2,194,3108,8/11/21,223,376,0,1,1,1,1,0,1,8,23,739.7,23,739.7
T1,High,High,3,215,T1_3_215,253_9,253,3460,9/14/21,257,1,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,216,T1_3_216,210_3,210,3161.3,9/14/21,257,15,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,217,T1_3_217,106_6,106,2925,8/20/21,232,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,218,T1_3_218,201_2,201,3352,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,219,T1_3_219,86_2,86,2880,9/14/21,257,1,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,220,T1_3_220,81_1,81,3095,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,222,T1_3_222,154_5,154,2992,10/13/21,286,49,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,225,T1_3_225,162_2,162,3055,8/17/21,229,8,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,227,T1_3_227,51_1,51,2929,8/18/21,230,7,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,228,T1_3_228,151_3,151,2975,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,229,T1_3_229,107_4,107,3091,9/1/21,244,355,0,0,0,1,1,0,0,NA,NA,NA,0,0
T1,High,High,3,231,T1_3_231,262_3,262,2717.292,8/20/21,232,5,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,232,T1_3_232,303_8,303,3570,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,234,T1_3_234,46_3A,46,3009,9/14/21,257,1,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,235,T1_3_235,201_2,201,3352,8/13/21,225,12,1,0,0,0,0,0,0,NA,NA,NA,0,0
T1,High,High,3,236,T1_3_236,200_1,200,3447,8/27/21,239,360,0,1,1,1,1,0,1,12,20,320.8,20,320.8
